,index,Rs income in constant $,Rs job is secure,Respondents income,Number of hours usually work a week,General happiness,income
63641,63641,17025,,$25000 or more,,Pretty happy,17025.0
63642,63642,12485,,$25000 or more,,Pretty happy,12485.0
63646,63646,24970,,$25000 or more,,Pretty happy,24970.0
63647,63647,12485,,$25000 or more,,Not too happy,12485.0
63648,63648,72640,,$25000 or more,,Pretty happy,72640.0
63654,63654,14755,,$25000 or more,,Very happy,14755.0
63655,63655,30645,,$25000 or more,,Pretty happy,30645.0
63656,63656,12485,,$25000 or more,,Pretty happy,12485.0
63658,63658,151050.7214,,Refused,,Pretty happy,151050.7214
63662,63662,20430,,$25000 or more,,Pretty happy,20430.0
63665,63665,3405,,$7000 to 7999,,Not too happy,3405.0
63666,63666,10782.5,,$20000 - 24999,,Pretty happy,10782.5
63667,63667,3405,,$7000 to 7999,,Pretty happy,3405.0
63669,63669,14755,,$25000 or more,40,Very happy,14755.0
