,index,week_web,week_email,week_tv,weekend_internet,weekend_internet_minutes,weekday_internet,weekday_internet_minutes,Gss year for this respondent                       ,General happiness,internet_per_week,screen_time_per_week
61414,61414,4,2,4,2,0,1,0,2016.0,Pretty happy,9,39
61420,61420,15,1,2,5,0,3,0,2016.0,Pretty happy,25,40
61424,61424,24,1,1,4,0,2,0,2016.0,Pretty happy,18,26
61430,61430,2,4,4,0,30,1,0,2016.0,Pretty happy,5,37
61437,61437,2,1,2,2,0,2,0,2016.0,Pretty happy,14,29
61450,61450,10,5,1,1,0,0,30,2016.0,Pretty happy,2,14
61451,61451,15,10,6,1,0,10,0,2016.0,Pretty happy,52,104
61453,61453,5,7,0,2,0,2,0,2016.0,Pretty happy,14,21
61460,61460,4,2,3,4,0,1,0,2016.0,Pretty happy,13,36
61468,61468,21,0,3,1,30,2,0,2016.0,Very happy,12,33
61473,61473,8,0,4,1,0,2,0,2016.0,Pretty happy,12,40
61474,61474,8,8,6,5,0,1,0,2016.0,Pretty happy,15,65
61487,61487,8,8,2,1,0,2,0,2016.0,Very happy,12,34
61490,61490,5,0,2,5,0,2,0,2016.0,Not too happy,20,34
61492,61492,3,1,0,2,0,2,0,2016.0,Pretty happy,14,15
61495,61495,3,3,3,1,0,1,0,2016.0,Very happy,7,31
61505,61505,2,2,2,6,0,1,0,2016.0,Pretty happy,17,33
61508,61508,7,7,5,12,0,9,0,2016.0,Pretty happy,69,111
61513,61513,3,2,9,1,30,0,45,2016.0,Pretty happy,2,67
61517,61517,3,12,0,0,0,2,0,2016.0,Very happy,10,22
61527,61527,10,20,2,2,0,2,0,2016.0,Pretty happy,14,48
61532,61532,10,6,4,0,30,2,0,2016.0,Pretty happy,10,44
61533,61533,15,1,4,7,30,6,0,2016.0,Pretty happy,44,73
61540,61540,6,10,2,4,0,6,0,2016.0,Pretty happy,38,62
61550,61550,15,10,3,1,0,6,0,2016.0,Pretty happy,32,63
61552,61552,4,2,2,1,0,1,30,2016.0,Pretty happy,7,23
61554,61554,12,3,8,10,0,8,0,2016.0,Very happy,60,119
61558,61558,14,10,2,1,0,1,0,2016.0,Not too happy,7,31
61561,61561,3,1,2,1,0,1,0,2016.0,Pretty happy,7,22
61565,61565,4,7,0,1,30,1,0,2016.0,Very happy,7,14
61567,61567,14,35,2,1,0,3,0,2016.0,Very happy,17,66
61569,61569,12,5,2,2,0,8,0,2016.0,Pretty happy,44,63
61580,61580,3,1,3,0,30,0,30,2016.0,Not too happy,0,22
61585,61585,3,2,3,0,0,1,0,2016.0,Pretty happy,5,28
61587,61587,3,1,5,2,0,1,0,2016.0,Not too happy,9,45
61590,61590,12,1,6,0,30,0,30,2016.0,Very happy,0,43
61592,61592,6,2,3,0,45,0,45,2016.0,Pretty happy,0,23
61596,61596,40,25,3,3,0,8,0,2016.0,Pretty happy,46,92
61598,61598,8,1,2,1,0,0,30,2016.0,Pretty happy,2,17
61607,61607,25,10,1,3,0,3,0,2016.0,Pretty happy,21,38
61608,61608,0,1,4,4,0,3,0,2016.0,Pretty happy,23,52
61610,61610,1,2,0,0,30,0,30,2016.0,Very happy,0,2
61616,61616,2,1,2,5,0,5,0,2016.0,Very happy,35,50
61628,61628,2,0,1,3,0,2,0,2016.0,Pretty happy,16,23
61638,61638,1,14,2,1,0,1,0,2016.0,Pretty happy,7,35
61641,61641,48,3,2,10,0,7,0,2016.0,Not too happy,55,72
61653,61653,5,5,1,0,15,0,15,2016.0,Pretty happy,0,12
61655,61655,0,4,0,8,0,5,0,2016.0,Very happy,41,45
61659,61659,20,0,15,4,0,4,0,2016.0,Pretty happy,28,133
61667,61667,5,0,2,1,0,1,0,2016.0,Very happy,7,21
61668,61668,25,3,4,5,0,5,0,2016.0,Pretty happy,35,66
61669,61669,30,4,0,2,0,5,0,2016.0,Pretty happy,29,33
61681,61681,5,1,0,1,0,1,0,2016.0,Pretty happy,7,8
61684,61684,35,2,4,5,0,3,0,2016.0,Not too happy,25,55
61688,61688,2,1,2,6,0,6,0,2016.0,Pretty happy,42,57
61691,61691,4,0,5,0,30,0,30,2016.0,Pretty happy,0,35
61693,61693,1,1,4,1,0,0,0,2016.0,Pretty happy,2,31
61701,61701,7,6,3,2,0,2,0,2016.0,Pretty happy,14,41
61710,61710,28,0,5,4,0,6,0,2016.0,Pretty happy,38,73
61711,61711,5,3,0,0,30,0,30,2016.0,Pretty happy,0,3
61713,61713,5,4,8,3,0,4,0,2016.0,Pretty happy,26,86
